AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|C|ESMERALDAS|SAN LORENZO|19673,4100|165592,6400|0,0000|0,0000|0,0000|37864,0200|157622,9400|0,0000|0,0000|195679,4500|185266,0500
2025|1|E|GUAYAS|EL EMPALME|78243,2600|2521,8600|0,0000|0,0000|0,0000|18939,7400|23856,6700|0,0000|265,0000|43182,4100|80765,1200
2025|1|O|EL ORO|EL GUABO|0,0000|706934,0600|0,0000|0,0000|0,0000|138952,9000|5095,3200|0,0000|230,0000|144278,2200|706934,0600
2025|1|M|AZUAY|CHORDELEG|111590,9900|5054,7900|0,0000|0,0000|0,0000|62670,6800|6823,8300|0,0000|0,0000|71234,0400|116645,7800
2025|1|M|CARCHI|SAN PEDRO DE HUACA|7848,4700|12361,9400|0,0000|5,0000|0,0000|14235,0800|6971,1400|0,0000|1375,0000|24848,8800|20215,4100
2025|1|D|SANTA ELENA|LA LIBERTAD|1734,9100|36228,3100|0,0000|0,0000|0,0000|9597,3200|25358,1400|0,0000|0,0000|34955,4600|37963,2200
2025|1|S|BOLIVAR|CALUMA|6552,6100|79112,1000|0,0000|0,0000|0,0000|17250,6900|4822,4100|0,0000|3794,0000|25867,1000|85664,7100
2025|1|Q|GALAPAGOS|SANTA CRUZ|26438,6000|51107,1800|0,0000|0,0000|0,0000|37455,0800|8682,2200|0,0000|293,8100|46964,1600|77545,7800
2025|1|A|ZAMORA CHINCHIPE|NANGARITZA|2543,9000|0,0100|30,0000|0,0000|0,0000|14791,2000|247,0000|0,0000|0,0000|15038,2000|2573,9100
2025|1|I|BOLIVAR|CHILLANES|1645,3100|505,1300|0,0000|0,0000|0,0000|435,9900|450,0000|0,0000|0,0000|885,9900|2150,4400
2025|1|N|SUCUMBIOS|CUYABENO|29126,4000|11853,4100|0,0000|0,0000|0,0000|58365,4300|4221,5400|0,0000|30,0000|62616,9700|40979,8100
2025|1|R|EL ORO|ZARUMA|51,0000|0,0000|0,0000|0,0000|0,0000|227,6600|57,5200|0,0000|0,0000|285,1800|51,0000
2025|1|C|TUNGURAHUA|PATATE|791773,9900|10686,9100|0,0000|0,0000|0,0000|602613,7800|17158,1300|0,0000|0,0000|619771,9100|802460,9000
2025|1|L|MORONA SANTIAGO|SUCUA|85170,8300|9583,9700|0,0000|0,0000|0,0000|35411,5700|4204,1900|0,0000|0,0000|39661,0000|94754,8000
2025|1|Q|ZAMORA CHINCHIPE|PALANDA|1563,2300|260,0000|0,0000|0,0000|0,0000|301,1300|63,6900|0,0000|0,0000|364,8200|1823,2300
2025|1|F|MORONA SANTIAGO|LOGROÑO|21285,4100|0,0000|0,0000|0,0000|0,0000|15236,1900|6226,4500|0,0000|0,0000|21641,3000|21285,4100
2025|1|B|GUAYAS|NARANJAL|575,0100|1664,8400|0,0000|0,0000|0,0000|34999,1600|1197,3900|0,0000|0,0000|36196,5500|2239,8500
2025|1|N|GUAYAS|NOBOL|9464,1800|1000,0000|0,0000|0,0000|0,0000|2139,0100|122,2000|0,0000|0,0000|2261,2100|10464,1800
2025|1|C|LOJA|SOZORANGA|0,0000|27,0000|0,0000|0,0000|0,0000|214,9000|0,0000|0,0000|0,0000|214,9000|27,0000
2025|1|J|EL ORO|PASAJE|189448,1900|5454,6000|0,0000|0,0000|0,0000|130988,1400|3286,4100|0,0000|3081,9800|137356,5300|194902,7900
2025|1|Q|GUAYAS|EL TRIUNFO|75545,8800|30086,8100|0,0000|0,0000|0,0000|69820,2700|14452,9300|0,0000|0,0000|84273,2000|105632,6900
2025|1|D|BOLIVAR|ECHEANDIA|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|1|M|CAÑAR|AZOGUES|825048,3000|115676,9900|0,0000|22,0000|0,0000|599740,1200|102734,9600|21419,8400|14932,5300|774925,0300|940747,2900
2025|1|G|EL ORO|EL GUABO|3530358,6000|5681253,4100|0,0000|412603,8500|3519135,7300|4019205,6600|7110640,8100|251527,1700|87848,4200|11888316,5500|13143351,5900
2025|1|G|GUAYAS|GUAYAQUIL|1375230249,7500|666339432,3700|47576,6600|13107298,7200|327569668,1100|940504412,9600|618679050,9000|448180826,0600|6281371,7400|2034762811,3100|2382294225,6100
2025|1|C|PICHINCHA|QUITO|496997981,5700|193992142,0900|768809,2000|43128281,9600|65023872,1900|225513921,8800|200089909,1000|208424196,1200|4077508,4800|664050403,8200|799911087,0100
2025|1|M|BOLIVAR|GUARANDA|482608,9900|133233,8100|0,0000|23614,9400|0,0000|295632,4000|73187,0600|47,2300|811,1900|408736,2900|639457,7400
2025|1|G|ORELLANA|ORELLANA|10089684,8100|2251190,8000|252,7900|402425,8700|0,0000|9837608,4600|2042867,3500|101207,4600|203901,0300|12560316,5100|12743554,2700
2025|1|W|CHIMBORAZO|RIOBAMBA|2885,2900|0,0000|0,0000|0,0000|0,0000|666,2500|2,0000|0,0000|0,0000|668,2500|2885,2900
2025|1|C|LOS RIOS|BABAHOYO|2585355,8600|1856860,2200|0,0000|1300,0000|244511,3200|1636196,4800|1375404,3100|63559,8300|13359,0000|3162079,9000|4688027,4000
2025|1|I|ESMERALDAS|ESMERALDAS|657751,8000|220669,3000|7888,7500|0,0000|0,0000|401701,3000|525881,3800|1595,3600|10667,7000|940915,3500|886309,8500
2025|1|S|ORELLANA|LORETO|48647,0300|31658,7900|1,0100|0,0000|0,0000|185585,4800|19183,1400|0,0000|3373,9500|208184,2900|80306,8300
2025|1|C|ESMERALDAS|ESMERALDAS|1780847,3300|1460302,9000|0,0000|560,1600|2376925,7000|1234653,4800|2865382,1200|39663,1300|56824,3800|4219165,1400|5618636,0900
2025|1|M|EL ORO|MACHALA|6499210,3400|2310946,3400|111,1200|19793,2600|1622202,9300|4314582,5700|1922211,5000|103040,9500|240589,5900|6762215,4500|10452263,9900
2025|1|G|EL ORO|PASAJE|4735551,9100|8772215,0100|270,0000|390405,3000|3941399,0700|5405816,0300|11199970,2000|194522,0800|552234,9400|17910487,5800|17839841,2900
2025|1|G|COTOPAXI|SAQUISILI|881990,5000|1950989,1500|0,0000|115989,4500|306041,4100|1006451,8000|1031932,0700|732432,4100|43416,1000|2911916,3300|3255010,5100
2025|1|S|MORONA SANTIAGO|PALORA|10418,3100|18005,6000|0,0000|0,0000|0,0000|13709,8700|1711,1400|0,0000|0,0000|15421,0100|28423,9100
2025|1|C|ZAMORA CHINCHIPE|ZAMORA|460689,7200|839802,1000|0,0000|0,0000|0,0000|514655,6600|73664,7000|1039,8000|1397,5000|591011,5500|1300491,8200
2025|1|C|TUNGURAHUA|MOCHA|38330,7900|29284,6400|0,0000|0,0000|0,0000|19214,3000|21849,1700|0,0000|3166,5000|44313,6600|67615,4300
2025|1|G|PICHINCHA|MEJIA|9003194,7500|8237517,5700|0,0000|403691,0700|11539,6000|7979995,9500|5044420,6500|1585987,8800|93344,6300|14997901,1200|17655942,9900
2025|1|S|LOS RIOS|VENTANAS|65738,9100|120317,0700|0,0000|0,0000|0,0000|90136,6400|94025,1700|2854,1600|26269,4300|213285,4000|186055,9800
2025|1|P|TUNGURAHUA|QUERO|171,0000|16389,0000|0,0000|0,0000|0,0000|3165,2300|3064,9800|0,0000|0,0000|6230,2100|16560,0000
2025|1|G|AZUAY|CHORDELEG|629543,2600|88958,2800|0,0000|4682,8100|0,0000|564106,6900|82811,0400|64746,3600|2127,1900|723143,3300|723184,3500
2025|1|M|LOJA|PALTAS|63114,8300|10348,3300|0,0000|0,0000|0,0000|31056,2100|7646,5700|0,0000|2090,2000|43760,4100|73463,1600
